stadium_id,stadium_name,zip_code,stadium_address
VKLkoZ_4yTUKxBdJ6K_ucA,AMC Puente Hills 20,91748,"['1560 South Azusa Avenue', 'City Of Industry, CA 91748']"
UCB7GR0uavGwoKeFcPuSAQ,AMC La Mirada 7,90638,"['15296 Rosecrans Avenue', 'La Mirada, CA 90638']"
fhedIMmFkos-cpdtub3hIg,La Mirada Theatre For the Performing Arts,90638,"['14900 La Mirada Blvd', 'La Mirada, CA 90638']"
HnSKGDUkRLdA3UPqqD0E5g,AMC DINE-IN Fullerton 20,92832,"['1001 S Lemon St', 'Fullerton, CA 92832']"
4ZO3gloUdFZMyPgBWsA-Ew,Phoenix Club,92821,"['375 W. Central Ave.', 'Brea, CA 92821']"
3H2iHbgaj7sasv2LCUoBCA,Apollo Electric,92821,"['330 N Basse Ln', 'Brea, CA 92821']"
vgmwP0ZoNEaZtj1yGgLN8g,Ultimate Esport,90621,"['6982 Beach Blvd C-211', 'Buena Park, CA 90621']"
LHiJ0zWoXT0Rezya2t-1cQ,Glover Stadium,92801,"['1125 N La Palma Pkwy', 'Anaheim, CA 92801']"
x2gPgOrFLvjM95Hrnw2Tag,CGV Cinemas - Buena Park,90621,"['6988 Beach Blvd', 'Ste 301', 'Buena Park, CA 90621']"
nKZW9YWkITkcftFmw2atjA,The Frida Cinema,92701,"['305 E 4th St', 'Ste 100', 'Santa Ana, CA 92701']"
SCcTsoXlfg2q9dIFpvlPlg,Titan Stadium Cal State Fullerton,92834,"['800 N State College Blvd', 'Fullerton, CA 92834']"
XChr5_uH5Pfs4DqTG-bR_Q,Goodwin Field,92831,"['800 N State College Blvd', 'Fullerton, CA 92831']"
sEmNDsEDQlc0XoO8I4KS3Q,The Office Sports Academy,92806,"['1351 N Kraemer Blvd', 'Anaheim, CA 92806']"
OAVReI-Y8AGu0ePyPGuF1Q,Fullerton Arboretum,92831,"['1900 Associated Rd', 'Fullerton, CA 92831']"
U-Q3tLjRcoahC6iuOOnWtg,Fullerton Auditorium ,92832,"['201 E Chapman Ave', 'Fullerton, CA 92832']"
-0ZR3lvt2adyKaz6fwQNUQ,Pumpkin Launch,92831,"['800 N State College Blvd', 'California State University', 'Fullerton, CA 92831']"
3WbrowIR-2huMGrJmiRk-Q,Regal Edwards Brea East,92821,"['155 W Birch St', 'Brea, CA 92821']"
T5PB_yzn2O1MZodksJdoHw,Curtis Theatre,92821,"['1 Civic Center Circle Dr', 'Brea, CA 92821']"
rhcLy6LaeWK-liInsepiCw,Campus Billiards & Sports Bar,90630,"['9111 Valley View St', 'Ste 107', 'Cypress, CA 90630']"
EfMl6aqR1qVtkwai-juGtg,Krikorian Buena Park Metroplex 18,90620,"['8290 La Palma Ave', 'Buena Park, CA 90620']"
CbzIuqR_2z4AYWHFnHnYLw,Regal Edwards Long Beach,90808,"['7501 E Carson Blvd', 'Long Beach, CA 90808']"
tZweO33K3r_K7HdMJgv8aQ,Avengers Super Heroes Half Marathon Weekend,92802,"['1313 Disneyland Dr', 'Anaheim, CA 92802']"
7fkjNeDr9L3jmJ6kJNJvZg,River Church,92805,"['201 E Broadway', 'Anaheim, CA 92805']"
YrfgboOuMtKIctmsjNvRmQ,Angel Stadium of Anaheim,92803,"['2000 E Gene Autry Way', 'Anaheim, CA 92803']"
1YdqLf80H9oMrjUM7CiWig,Karl Strauss Brewing Company,92806,"['2390 E Orangewood Ave 100', 'Ste 100', 'Anaheim, CA 92806']"
