store_name,store_address,zip_code,store_number
Trader Joe's Sherman Oaks (49),"14119 Riverside Dr, Sherman Oaks",91423,49
Trader Joe's Sherman Oaks (Sunkist),"14130 Riverside Dr, Sherman Oaks",91423,
Trader Joe's Simi Valley (30),"2975-A Cochran St, Simi Valley",93065,30
Trader Joe's South Pasadena (Fair Oaks) (4),"1129 Fair Oaks Ave, South Pasadena",91030,4
Trader Joe's South San Francisco (187),"301 MC Lellan Dr, South San Francisco",94080,187
Trader Joe's South Pasadena (18),"613 Mission St, S. Pasadena",91030,18
Trader Joe's Stockton (76),"6535 Pacific Ave, Stockton",95207,76
Trader Joe's Studio City (122),"11976 Ventura Blvd, Studio City",91604,122
Trader Joe's Sunnyvale (68),"316 West El Camino Real, Sunnyvale",94087,68
Trader Joe's Temecula (102),"40665 Winchester Rd, Temecula",92591,102
Trader Joe's Templeton (211),"1111 Rossi Road, Templeton",93465,211
Trader Joe's Newbury Park (243),"125 N Reino Road, Thousand Oaks",91320,243
Trader Joe's Thousand Oaks (196),"451 Avenida De Los Arboles, Thousand Oaks",91360,196
Trader Joe's Toluca Lake (54),"10130 Riverside Dr, Toluca Lake",91602,54
Trader Joe's Torrance - Hawthorne Blvd (121),"19720 Hawthorne Blvd, Torrance",90503,121
Trader Joe's Torrance - Rolling Hills Plaza (29),"2545 Pacific Coast Hwy, Torrance",90505,29
Trader Joe's Tustin (197),"1198 Irvine Blvd., Tustin",92780,197
Trader Joe's Ventura (45),"1795 S. Victoria Ave, Ventura",93003,45
Trader Joe's Ventura - Midtown (218),"103 S Mills Rd, Ventura",93003,218
Trader Joe's Walnut Creek (123),"1372 S California Blvd, Walnut Creek",94596,123
Trader Joe's Westchester (33),"8645 S Sepulveda, Westchester",90045,33
Trader Joe's West Hills (50),"6751 Fallbrook Ave, West Hills",91307,50
Trader Joe's West Hollywood (173),"8611 Santa Monica Blvd, West Hollywood",90069,173
Trader Joe's West Hollywood (40),"7310 Santa Monica Blvd, West Hollywood",90046,40
Trader Joe's Westlake Village (58),"3835 E Thousand Oaks Blvd, Westlake Village",91362,58
Trader Joe's Whittier (48),"15025 E Whittier Blvd, Whittier",90603,48
Trader Joe's Woodland Hills (209),"21055 Ventura Blvd, Woodland Hills",91364,209
Trader Joe's Yorba Linda (176),"19655 Yorba Linda Blvd, Yorba Linda",92886,176
