zip_code,place_name,population,median_income,median_unit_price,num_traderjoes,num_stadiums,num_coffee,longitude,latitude
90278,"Redondo Beach, Torrance",42536,143785.0,682.5396825396825,0.0,3.0,5.0,-118.3715,33.8707
90280,South Gate,92262,67287.0,456.6420664206642,0.0,2.0,5.0,-118.2013,33.9462
90290,Topanga,5300,138316.0,779.3577981651376,0.0,1.0,6.0,-118.6023,34.1076
90291,Los Angeles (Venice),25656,111610.0,1179.904246386909,0.0,0.0,14.0,-118.4635,33.9938
90292,"Los Angeles (Marina Peninsula), Marina del Rey",24481,136854.0,832.7956989247311,1.0,3.0,6.0,-118.4525,33.9779
90293,Los Angeles (Playa del Rey),13039,124688.0,744.8783812119941,0.0,0.0,4.0,-118.4373,33.9577
90301,Inglewood,37341,61910.0,479.9426934097421,0.0,4.0,8.0,-118.3556,33.955
90302,Inglewood,29307,68662.0,506.3279631760644,0.0,0.0,5.0,-118.3548,33.9745
90303,Inglewood,23370,67598.0,561.1143144148668,0.0,1.0,3.0,-118.3321,33.9377
90304,"Inglewood, Lennox",25725,57647.0,462.962962962963,0.0,0.0,2.0,-118.3586,33.9379
90305,Inglewood,14679,85466.0,503.21082441787286,0.0,3.0,3.0,-118.3258,33.9583
90401,Santa Monica (Downtown),7480,89892.0,1247.288503253796,1.0,7.0,12.0,-118.4907,34.0176
90402,Santa Monica,11816,171844.0,1546.0031609964992,0.0,0.0,2.0,-118.503,34.0349
90403,Santa Monica,24092,123391.0,1045.5015766653528,1.0,2.0,9.0,-118.4924,34.0287
90404,Santa Monica,23975,87209.0,874.068358412251,0.0,0.0,9.0,-118.4733,34.0268
90405,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)",26981,101713.0,1069.3916349809886,1.0,3.0,11.0,-118.4717,34.01
90501,Torrance,42536,89926.0,574.6268656716418,0.0,2.0,5.0,-118.3118,33.8268
90502,"Torrance, West Carson",18430,95528.0,509.76051750240856,0.0,0.0,2.0,-118.292,33.8286
90503,Torrance,44280,117364.0,679.5841209829867,1.0,1.0,5.0,-118.3542,33.8397
90504,Torrance,32965,101773.0,635.0053361792956,0.0,1.0,7.0,-118.3295,33.8708
90505,Torrance,36214,108857.0,663.7451892538206,1.0,1.0,6.0,-118.3507,33.8106
90601,"City of Industry, Whittier",30667,96209.0,467.6748639481139,0.0,2.0,4.0,-118.0371,34.0011
90602,Whittier,25949,63956.0,493.61149825783974,0.0,1.0,4.0,-118.0337,33.9693
90603,Whittier,20883,117324.0,543.3846656360785,1.0,0.0,2.0,-117.9927,33.9432
90604,"East La Mirada, South Whittier,",39795,95570.0,530.3394625176803,0.0,0.0,0.0,-118.0121,33.9299
90605,"South Whittier, Whittier",41427,94200.0,543.1567191176347,0.0,0.0,3.0,-118.0356,33.9413
90606,"Los Nietos, West Whittier",31717,86596.0,520.9652848889396,0.0,0.0,1.0,-118.0658,33.9777
90631,La Habra Heights,69064,98009.0,499.5947913252486,1.0,1.0,5.0,-117.9494,33.9331
90638,La Mirada,46170,104114.0,527.3874198055421,0.0,2.0,14.0,-118.0101,33.9067
90640,Montebello,62294,72163.0,455.7069846678024,0.0,2.0,9.0,-118.113,34.0133
90639,La Mirada (Biola University),1833,0.0,0.0,0.0,0.0,5.0,-118.0182,33.9058
90650,Norwalk,101983,91259.0,529.6392758549723,0.0,4.0,3.0,-118.0818,33.9056
90660,Pico Rivera,61561,82539.0,497.0119521912351,0.0,1.0,3.0,-118.0883,33.9886
90670,Santa Fe Springs,17556,83259.0,473.7634924702491,0.0,1.0,4.0,-118.0838,33.9464
90701,Artesia,16237,92702.0,556.2422744128554,0.0,1.0,9.0,-118.0731,33.8654
90703,Cerritos,49334,124240.0,556.4801337620105,1.0,2.0,9.0,-118.0686,33.8669
90704,"Avalon, Santa Catalina Island, Two Harbors (PO Boxes)",3822,89107.0,738.255033557047,0.0,3.0,19.0,-118.3437,33.332
90706,Bellflower,78352,75379.0,464.3048845947397,0.0,1.0,7.0,-118.1265,33.8867
90710,Los Angeles (Harbor City),27517,75114.0,475.54038680318547,0.0,0.0,2.0,-118.2991,33.797
90712,Lakewood,31552,119143.0,593.3544303797469,0.0,1.0,1.0,-118.1457,33.8512
90713,Lakewood,28439,123809.0,607.563025210084,0.0,0.0,1.0,-118.1115,33.8473
90715,Lakewood,20949,89113.0,552.5657894736842,0.0,0.0,4.0,-118.0767,33.8405
90716,Hawaiian Gardens,13941,73784.0,462.26073751898167,0.0,0.0,7.0,-118.073,33.8296
90717,Lomita,21788,88111.0,508.5932527052833,0.0,0.0,10.0,-118.3172,33.7938
90723,Paramount,53286,67130.0,456.6326530612245,0.0,1.0,3.0,-118.1632,33.8969
90731,"Los Angeles (San Pedro, Terminal Island)",63431,69019.0,482.74144936933175,0.0,1.0,11.0,-118.2914,33.7339
90732,"Los Angeles (San Pedro), Rancho Palos Verdes",22078,115120.0,486.4576802507837,0.0,0.0,0.0,-118.3121,33.742
90740,Long Beach (overlaps Orange County),24604,75007.0,390.7155284906481,0.0,1.0,6.0,-118.0808,33.7602
90744,Los Angeles (Wilmington),54277,58869.0,465.95208070617906,0.0,0.0,5.0,-118.2645,33.7855
90745,Carson,58735,103471.0,466.1354581673307,0.0,1.0,2.0,-118.2684,33.823
90746,Carson,27643,109596.0,448.22793606671297,0.0,10.0,6.0,-118.2554,33.8584
90747,Carson (California State Univ Dominguez Hills),25,0.0,0.0,0.0,0.0,2.0,-118.2538,33.8671
90755,Signal Hill,11764,96521.0,460.1104294478528,0.0,0.0,1.0,-118.1677,33.8029
90802,Long Beach,40012,69613.0,561.6372391653291,0.0,8.0,15.0,-118.182,33.7706
90803,"Long Beach (Belmont Shore, Marina, Naples)",31659,107889.0,727.4861912061708,1.0,4.0,17.0,-118.1341,33.7619
90804,Long Beach (East Long Beach),37299,64160.0,551.6180082416172,0.0,2.0,9.0,-118.1357,33.7857
90805,Long Beach (North Long Beach),96515,64848.0,518.2537823292157,0.0,1.0,1.0,-118.1801,33.8635
90806,Long Beach,40688,67632.0,531.1355311355311,0.0,1.0,2.0,-118.1876,33.8045
90807,Long Beach (Bixby Knolls),33153,89319.0,532.0766190331408,1.0,1.0,9.0,-118.1811,33.8315
90808,Long Beach,39698,131535.0,621.9741214874246,0.0,2.0,6.0,-118.1103,33.8241
90810,"Carson, Dominguez, Long Beach",36306,75152.0,489.651691991485,0.0,0.0,0.0,-118.2325,33.8193
90813,Long Beach,53647,48535.0,483.5550181378477,0.0,0.0,0.0,-118.1835,33.782
90814,Long Beach,20723,89776.0,596.7620481927711,0.0,1.0,4.0,-118.148,33.7716
90815,Long Beach,42759,110565.0,607.2601010101009,1.0,2.0,10.0,-118.1192,33.7939
90822,Long Beach,125,0.0,0.0,0.0,0.0,0.0,-118.1638,33.7927
91001,Altadena,36420,129030.0,716.487225486739,0.0,0.0,5.0,-118.1392,34.1912
91006,Arcadia,31986,123358.0,655.0714891932419,0.0,1.0,4.0,-118.0264,34.1324
91007,Arcadia,33367,93128.0,622.2616482150243,0.0,5.0,8.0,-118.0515,34.1243
91008,Bradbury,744,139167.0,640.4777887227722,0.0,0.0,1.0,-117.9644,34.149
91010,"Azusa, Bradbury, Duarte, Irwindale, Monrovia",26825,95172.0,518.8521956066725,0.0,0.0,4.0,-117.9567,34.1407
91011,La Cañada Flintridge,20389,210532.0,868.2874699438953,1.0,2.0,7.0,-118.2051,34.2217
91016,Monrovia,41822,95606.0,589.6678966789668,1.0,1.0,15.0,-118.0014,34.144
91020,Montrose,7509,61771.0,556.4814506044185,1.0,0.0,11.0,-118.2305,34.2114
91024,Sierra Madre,11151,128056.0,691.2657636618403,0.0,0.0,7.0,-118.0519,34.1651
91030,South Pasadena,26583,127882.0,747.012987012987,2.0,1.0,8.0,-118.1547,34.1109
91040,"Los Angeles (Shadow Hills, Sunland)",20911,103823.0,538.6779184247539,0.0,0.0,4.0,-118.3371,34.2618
91042,Los Angeles (Tujunga),27119,81324.0,591.4065627805196,0.0,1.0,4.0,-118.2849,34.2544
91046,Glendale (Verdugo City),141,0.0,0.0,0.0,0.0,0.0,-118.2987,33.7866
91101,Pasadena,19737,86631.0,642.2940150295223,1.0,0.0,12.0,-118.1391,34.1468
